212, 645, 288, 634
206, 518, 279, 526
224, 390, 286, 416
302, 261, 369, 314
545, 175, 561, 236
846, 182, 841, 259
1114, 203, 1100, 282
1217, 297, 1113, 300
1185, 403, 1102, 339
1042, 462, 979, 408
876, 543, 807, 482
765, 598, 693, 545
801, 596, 815, 694
883, 587, 904, 680
1102, 567, 1128, 640
1261, 452, 1304, 514
1461, 412, 1454, 499
1615, 480, 1572, 535
1722, 680, 1655, 698
1693, 873, 1623, 815
1510, 966, 1495, 886
1297, 970, 1282, 888
1054, 971, 1045, 887
925, 969, 907, 885
742, 969, 733, 884
549, 965, 537, 880
295, 920, 361, 864
238, 766, 309, 754
