575, 861, 574, 933
501, 860, 502, 931
421, 862, 424, 935
376, 837, 337, 927
340, 812, 267, 856
276, 754, 208, 822
212, 740, 152, 782
181, 698, 118, 733
169, 664, 101, 679
168, 619, 99, 620
168, 565, 97, 561
176, 524, 108, 503
195, 506, 175, 439
260, 426, 271, 493
334, 421, 324, 486
410, 439, 380, 500
467, 480, 409, 531
493, 530, 434, 570
525, 561, 459, 609
551, 584, 502, 659
591, 600, 581, 690
626, 596, 679, 679
656, 564, 743, 614
668, 516, 768, 536
674, 440, 779, 483
740, 371, 799, 464
824, 363, 848, 449
894, 360, 904, 430
985, 358, 986, 428
1094, 352, 1094, 422
1129, 336, 1216, 374
1156, 284, 1244, 311
1181, 216, 1268, 283
1276, 173, 1292, 264
1330, 160, 1387, 259
1377, 132, 1449, 177
1422, 75, 1487, 141
1497, 30, 1522, 125
1592, 38, 1567, 127
1651, 66, 1596, 151
1691, 114, 1617, 185
1716, 170, 1639, 225
1731, 229, 1662, 265
1745, 287, 1673, 311
1748, 367, 1671, 369
1670, 459, 1747, 457
1745, 522, 1672, 521
1733, 593, 1663, 576
1718, 686, 1637, 655
1693, 762, 1615, 727
1656, 840, 1582, 796
1600, 914, 1537, 844
1503, 958, 1481, 868
1397, 967, 1389, 878
1312, 962, 1306, 881
1189, 958, 1193, 881
1048, 951, 1047, 875
918, 866, 915, 939
834, 863, 827, 934
741, 865, 734, 932
662, 862, 666, 932
