867, 864, 577, 861
583, 861, 510, 856
516, 857, 420, 860
423, 859, 360, 830
363, 832, 340, 811
343, 814, 320, 776
321, 779, 293, 761
296, 764, 254, 753
257, 754, 223, 745
225, 745, 191, 718
196, 720, 175, 683
178, 688, 169, 632
169, 637, 168, 568
167, 572, 175, 527
174, 531, 180, 514
177, 519, 194, 507
191, 509, 309, 488
302, 486, 368, 496
360, 494, 396, 512
389, 509, 478, 638
476, 634, 516, 668
512, 663, 547, 680
544, 677, 596, 690
593, 688, 648, 692
643, 692, 691, 673
686, 676, 731, 634
729, 636, 752, 602
748, 606, 764, 571
761, 576, 779, 483
777, 488, 792, 467
790, 470, 823, 456
817, 455, 850, 452
843, 452, 867, 442
862, 443, 891, 428
883, 431, 1143, 421
1138, 421, 1176, 415
1171, 417, 1194, 409
1191, 410, 1212, 388
1209, 391, 1246, 308
1243, 312, 1264, 279
1259, 282, 1293, 268
1286, 269, 1339, 272
1332, 270, 1383, 263
1378, 264, 1402, 246
1400, 248, 1451, 178
1450, 181, 1474, 150
1470, 154, 1521, 125
1514, 127, 1567, 127
1560, 126, 1595, 151
1590, 148, 1615, 183
1611, 179, 1661, 267
1658, 260, 1674, 320
1672, 314, 1670, 361
1672, 356, 1672, 457
1673, 453, 1672, 523
1673, 516, 1663, 576
1663, 572, 1638, 653
1640, 652, 1617, 726
1617, 724, 1583, 795
1585, 793, 1537, 841
1539, 841, 1526, 854
1528, 853, 1508, 863
1512, 861, 1475, 865
1484, 865, 1390, 879
1392, 879, 1307, 878
1312, 878, 1193, 879
1197, 877, 1048, 873
1051, 873, 917, 866
922, 866, 861, 861
735, 933, 599, 933
604, 932, 502, 929
509, 929, 425, 935
430, 934, 387, 929
394, 930, 337, 928
341, 926, 303, 933
309, 931, 282, 926
287, 926, 271, 912
273, 913, 267, 884
267, 891, 266, 853
266, 856, 259, 843
260, 846, 206, 821
291, 928, 276, 919
296, 931, 312, 932
210, 823, 152, 781
156, 782, 133, 759
137, 763, 119, 731
123, 736, 101, 680
102, 683, 99, 620
99, 627, 98, 561
98, 565, 104, 518
103, 522, 114, 486
112, 490, 129, 465
124, 470, 153, 445
149, 448, 177, 439
169, 441, 227, 429
217, 431, 281, 421
271, 421, 333, 420
324, 421, 382, 427
372, 427, 422, 443
415, 440, 457, 469
450, 465, 477, 498
474, 494, 494, 528
490, 524, 526, 561
521, 556, 553, 584
547, 579, 591, 598
580, 594, 614, 604
608, 601, 635, 591
628, 592, 648, 579
645, 580, 660, 553
656, 559, 672, 501
669, 506, 675, 435
673, 439, 688, 399
685, 402, 706, 381
702, 385, 741, 371
734, 373, 823, 361
814, 362, 894, 361
889, 360, 985, 357
977, 358, 1092, 351
1086, 350, 1115, 351
1106, 351, 1132, 331
1127, 334, 1157, 294
1152, 298, 1159, 262
1155, 269, 1173, 230
1172, 234, 1192, 206
1188, 209, 1212, 188
1210, 191, 1251, 173
1243, 174, 1285, 170
1276, 172, 1312, 167
1301, 169, 1332, 162
1323, 164, 1350, 146
1343, 148, 1365, 135
1360, 136, 1377, 131
1373, 132, 1398, 100
1392, 106, 1421, 76
1416, 80, 1440, 54
1434, 58, 1465, 41
1457, 43, 1488, 32
1483, 35, 1532, 29
1523, 31, 1563, 30
1558, 30, 1598, 37
1591, 34, 1627, 49
1620, 47, 1651, 67
1643, 65, 1672, 88
1666, 84, 1694, 117
1689, 113, 1716, 170
1713, 166, 1734, 230
1730, 220, 1744, 286
1742, 279, 1748, 367
1747, 362, 1746, 485
1747, 474, 1744, 537
1746, 526, 1734, 599
1734, 591, 1716, 686
1717, 679, 1694, 761
1694, 755, 1658, 838
1659, 833, 1631, 883
1635, 875, 1601, 913
1601, 910, 1571, 937
1575, 933, 1529, 954
1536, 950, 1481, 966
1491, 963, 1435, 973
1441, 972, 1390, 969
1397, 969, 1310, 964
1318, 963, 1189, 959
1197, 958, 1090, 957
1096, 957, 1004, 946
1008, 948, 915, 940
920, 940, 816, 936
821, 937, 726, 933
1529, 847, 1555, 824
1621, 896, 1572, 936
1582, 929, 1553, 945
1614, 899, 1642, 866
1204, 877, 1115, 875
545, 930, 491, 933
499, 930, 435, 934
439, 934, 402, 933
405, 933, 370, 932
378, 929, 322, 931
327, 930, 302, 932
