240, 809, 200, 583
200, 583, 218, 395
218, 395, 303, 255
303, 255, 548, 173
548, 173, 764, 179
764, 179, 1058, 198
1055, 199, 1180, 215
1177, 215, 1220, 272
1222, 273, 1218, 367
1218, 367, 1150, 437
1150, 437, 1044, 460
1044, 460, 757, 600
757, 600, 1099, 570
1100, 570, 1187, 508
1187, 507, 1288, 443
1288, 443, 1463, 415
1463, 415, 1615, 478
1617, 479, 1727, 679
1727, 679, 1697, 874
1694, 872, 1520, 964
1520, 964, 1100, 970
1105, 970, 335, 960
339, 960, 264, 899
263, 897, 238, 803
317, 782, 274, 570
275, 569, 284, 407
284, 407, 363, 317
363, 317, 562, 240
562, 240, 1114, 284
1114, 284, 1120, 323
1120, 323, 1045, 377
1045, 378, 682, 548
682, 548, 604, 610
604, 612, 603, 695
605, 695, 702, 713
703, 712, 1128, 642
1129, 642, 1320, 512
1323, 512, 1464, 497
1464, 497, 1579, 535
1579, 535, 1660, 701
1660, 697, 1634, 818
1634, 818, 1499, 889
1499, 889, 395, 883
395, 883, 330, 838
330, 838, 315, 782
319, 798, 306, 725
276, 580, 277, 543
603, 639, 622, 590
599, 655, 621, 704
1074, 571, 1115, 558
1314, 516, 1333, 511
1692, 875, 1706, 830
277, 912, 255, 872
1214, 262, 1225, 288
1601, 470, 1625, 490
1119, 644, 1139, 634
687, 710, 719, 710
1721, 664, 1727, 696
1015, 392, 1065, 362
1091, 572, 1104, 568
1157, 528, 1233, 478
